id,po_id,carrier,container_no,planned_departure,planned_arrival,predicted_arrival,predicted_confidence,prediction_basis,current_stage,version,updated_at
89,89,CMA CGM,MAEU3703910,2025-12-21,2026-01-15,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
90,90,Maersk,MAEU9313326,2026-02-26,2026-04-04,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
91,91,ONE,MAEU0926534,2025-12-25,2026-01-24,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
92,92,Evergreen,MAEU1058989,2026-04-16,2026-05-23,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
93,93,Evergreen,MAEU7757898,2026-08-13,2026-09-24,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
94,94,Evergreen,MAEU2304649,2026-02-08,2026-03-22,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
95,95,Maersk,MAEU9399999,2026-01-07,2026-02-15,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
96,96,ONE,MAEU2632575,2026-07-16,2026-08-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
97,97,Evergreen,MAEU6847376,2026-05-29,2026-07-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
98,98,Maersk,MAEU7170571,2025-10-31,2025-11-27,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
99,99,Evergreen,MAEU7300403,2025-12-27,2026-02-04,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
100,100,Evergreen,MAEU0913860,2026-03-27,2026-05-10,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
101,101,Maersk,MAEU5136862,2025-11-18,2025-12-27,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
102,102,Evergreen,MAEU6443506,2026-06-12,2026-07-13,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
103,103,Evergreen,MAEU2578944,2026-08-06,2026-09-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
104,104,Evergreen,MAEU6477875,2025-10-11,2025-11-14,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
105,105,Evergreen,MAEU8189716,2025-10-12,2025-11-13,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
106,106,ONE,MAEU4285718,2026-07-11,2026-08-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
107,107,CMA CGM,MAEU0086180,2026-07-09,2026-08-20,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
108,108,CMA CGM,MAEU0223828,2026-05-13,2026-06-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
109,109,ONE,MAEU0523902,2026-03-17,2026-04-20,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
110,110,Maersk,MAEU4113792,2026-03-15,2026-04-26,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
111,111,CMA CGM,MAEU1158028,2026-06-26,2026-08-09,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
112,112,CMA CGM,MAEU5888368,2025-09-11,2025-10-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
113,113,ONE,MAEU8961366,2026-02-27,2026-03-30,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
114,114,CMA CGM,MAEU8935178,2026-07-14,2026-08-17,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
115,115,Evergreen,MAEU3661635,2025-12-01,2026-01-09,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
116,116,CMA CGM,MAEU9171496,2025-09-22,2025-10-19,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
117,117,CMA CGM,MAEU1083404,2026-07-02,2026-08-02,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
118,118,CMA CGM,MAEU0392012,2025-11-05,2025-12-07,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
119,119,CMA CGM,MAEU0984003,2026-03-22,2026-04-21,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
120,120,Evergreen,MAEU8079925,2026-03-31,2026-05-01,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
121,121,CMA CGM,MAEU8666294,2026-06-02,2026-07-11,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
122,122,ONE,MAEU1979720,2026-01-29,2026-03-07,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
123,123,Maersk,MAEU6354312,2025-09-15,2025-10-10,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
124,124,Maersk,MAEU9080960,2025-10-11,2025-11-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
125,125,Maersk,MAEU0993370,2026-07-25,2026-08-28,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
126,126,Evergreen,MAEU9228059,2026-02-10,2026-03-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
127,127,Evergreen,MAEU8853592,2026-02-15,2026-03-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
128,128,Maersk,MAEU0844175,2026-03-21,2026-05-02,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
129,129,Maersk,MAEU7693967,2026-04-27,2026-05-27,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
130,130,ONE,MAEU9080936,2026-06-07,2026-07-02,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
131,131,Evergreen,MAEU8777362,2026-07-28,2026-09-03,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
132,132,Evergreen,MAEU5406900,2026-03-09,2026-04-03,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
133,133,ONE,MAEU2546685,2025-11-27,2026-01-10,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
134,134,ONE,MAEU3635992,2026-06-25,2026-08-03,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
135,135,ONE,MAEU2492335,2026-03-02,2026-03-27,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
136,136,CMA CGM,MAEU8218986,2026-07-30,2026-09-05,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
137,137,CMA CGM,MAEU8423891,2025-10-02,2025-11-05,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
138,138,Maersk,MAEU8578910,2025-12-20,2026-01-23,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
139,139,Evergreen,MAEU6125781,2026-04-30,2026-06-01,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
140,140,ONE,MAEU1713862,2025-11-04,2025-12-04,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
141,141,Maersk,MAEU0090471,2025-12-13,2026-01-24,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
142,142,ONE,MAEU9009885,2026-01-17,2026-02-25,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
143,143,ONE,MAEU5409045,2026-03-10,2026-04-16,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
144,144,CMA CGM,MAEU6315516,2025-10-20,2025-12-03,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
145,145,CMA CGM,MAEU3956502,2025-10-26,2025-11-25,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
146,146,Evergreen,MAEU7911914,2025-12-19,2026-01-18,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
147,147,CMA CGM,MAEU3636529,2026-04-24,2026-05-19,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
148,148,CMA CGM,MAEU9627267,2026-07-01,2026-08-04,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
149,149,ONE,MAEU1258004,2025-11-21,2025-12-25,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
150,150,ONE,MAEU3696452,2026-04-06,2026-05-03,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
151,151,CMA CGM,MAEU7179080,2025-12-07,2026-01-06,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
152,152,CMA CGM,MAEU1055830,2025-11-11,2025-12-15,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
153,153,Maersk,MAEU3467847,2025-12-02,2026-01-10,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
154,154,Maersk,MAEU2534360,2026-06-13,2026-07-13,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
155,155,ONE,MAEU4209563,2026-02-20,2026-03-22,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
156,156,Evergreen,MAEU6933820,2025-12-02,2026-01-01,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
157,157,Maersk,MAEU1311408,2026-01-06,2026-01-31,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
158,158,Maersk,MAEU6048256,2026-02-19,2026-03-18,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
159,159,CMA CGM,MAEU8575392,2026-02-02,2026-03-08,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
160,160,Maersk,MAEU2156744,2025-12-02,2026-01-05,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
161,161,Evergreen,MAEU5340681,2026-07-16,2026-08-16,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
162,162,Maersk,MAEU4562206,2025-11-11,2025-12-11,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
163,163,Maersk,MAEU7151748,2026-04-21,2026-05-21,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
164,164,ONE,MAEU8817351,2026-05-08,2026-06-11,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
165,165,CMA CGM,MAEU2269221,2026-07-31,2026-08-30,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
166,166,Evergreen,MAEU1062395,2025-11-08,2025-12-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
167,167,Evergreen,MAEU3096268,2026-06-30,2026-08-11,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
168,168,CMA CGM,MAEU8198911,2025-11-25,2026-01-03,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
169,169,Evergreen,MAEU5958074,2026-08-02,2026-09-01,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
170,170,Maersk,MAEU5618641,2026-05-30,2026-07-08,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
171,171,Maersk,MAEU5156203,2026-04-15,2026-05-22,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
172,172,Maersk,MAEU7304683,2026-08-16,2026-09-19,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
173,173,Evergreen,MAEU3320250,2025-10-17,2025-11-23,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
174,174,Evergreen,MAEU5471402,2025-11-13,2025-12-27,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
175,175,Evergreen,MAEU4166439,2026-05-29,2026-07-07,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
176,176,CMA CGM,MAEU3472080,2026-05-29,2026-06-25,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
177,177,CMA CGM,MAEU5151114,2025-11-27,2025-12-29,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
178,178,CMA CGM,MAEU8602509,2026-02-16,2026-03-19,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
179,179,ONE,MAEU8649580,2026-03-21,2026-04-20,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
180,180,Evergreen,MAEU7232955,2026-07-25,2026-08-24,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
181,181,Maersk,MAEU7300543,2026-06-26,2026-07-30,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
182,182,CMA CGM,MAEU7401854,2026-02-19,2026-03-22,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
183,183,Maersk,MAEU3554313,2026-07-03,2026-07-30,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
184,184,ONE,MAEU7421129,2026-01-26,2026-02-25,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
185,185,ONE,MAEU8283865,2026-07-30,2026-08-29,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
186,186,ONE,MAEU9781914,2026-06-23,2026-08-01,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
187,187,Evergreen,MAEU5002094,2026-02-28,2026-03-25,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
188,188,Maersk,MAEU1455189,2026-07-30,2026-09-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
189,189,Maersk,MAEU9689612,2025-12-28,2026-01-24,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
190,190,Evergreen,MAEU9500239,2026-06-02,2026-07-06,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
191,191,Evergreen,MAEU7585545,2026-07-19,2026-08-18,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
192,192,Evergreen,MAEU9585026,2025-11-15,2025-12-29,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
193,193,Maersk,MAEU9766030,2026-08-01,2026-09-07,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
194,194,Evergreen,MAEU2101316,2026-03-15,2026-04-16,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
195,195,Evergreen,MAEU2114220,2026-03-27,2026-05-10,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
196,196,ONE,MAEU7369353,2025-10-05,2025-11-01,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
197,197,ONE,MAEU9023210,2025-09-23,2025-10-30,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
198,198,CMA CGM,MAEU1563601,2025-09-12,2025-10-24,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
199,199,CMA CGM,MAEU5513684,2026-04-17,2026-05-18,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
200,200,ONE,MAEU2513725,2025-10-01,2025-11-01,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
201,201,ONE,MAEU2927686,2026-06-16,2026-07-13,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
202,202,ONE,MAEU4914822,2025-11-10,2025-12-10,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
203,203,Evergreen,MAEU4839127,2026-02-04,2026-03-15,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
204,204,CMA CGM,MAEU2878794,2025-12-17,2026-01-28,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
205,205,CMA CGM,MAEU6494934,2026-01-18,2026-02-26,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
206,206,Evergreen,MAEU9546624,2025-09-14,2025-10-16,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
207,207,ONE,MAEU6320259,2026-07-30,2026-09-12,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
208,208,Evergreen,MAEU4140720,2026-07-14,2026-08-17,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
209,209,CMA CGM,MAEU6204732,2025-12-02,2026-01-13,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
210,210,CMA CGM,MAEU6911394,2026-01-19,2026-02-22,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
211,211,ONE,MAEU6954768,2026-07-09,2026-08-22,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
212,212,ONE,MAEU8075928,2026-03-20,2026-04-14,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
213,213,Evergreen,MAEU3783206,2025-10-19,2025-11-22,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
214,214,CMA CGM,MAEU5748081,2026-01-08,2026-02-07,,,,RECEIVED_FC,0,2026-09-10 09:23:18.966662+00
