id,po_number,supplier,origin_port,dest_fc_id,status,planned_arrival,created_at
85,PO-1084,Klang Valley Timber,MYPKG,3,RECEIVED,2026-08-04,2026-05-29 00:00:00+00
86,PO-1085,Klang Valley Timber,MYPKG,1,RECEIVED,2026-09-03,2026-07-07 00:00:00+00
87,PO-1086,Klang Valley Timber,MYPKG,1,RECEIVED,2026-04-02,2026-02-06 00:00:00+00
88,PO-1087,Shanghai Home Works,CNSHA,2,RECEIVED,2026-02-16,2025-12-25 00:00:00+00
89,PO-1088,Shanghai Home Works,CNSHA,1,RECEIVED,2026-01-15,2025-11-25 00:00:00+00
90,PO-1089,Klang Valley Timber,MYPKG,2,RECEIVED,2026-04-04,2026-01-31 00:00:00+00
91,PO-1090,Shanghai Home Works,CNSHA,2,RECEIVED,2026-01-24,2025-11-30 00:00:00+00
92,PO-1091,Klang Valley Timber,MYPKG,2,RECEIVED,2026-05-23,2026-03-20 00:00:00+00
93,PO-1092,Saigon Furniture Co.,VNSGN,3,RECEIVED,2026-09-24,2026-07-20 00:00:00+00
94,PO-1093,Saigon Furniture Co.,VNSGN,3,RECEIVED,2026-03-22,2026-01-14 00:00:00+00
95,PO-1094,Shanghai Home Works,CNSHA,3,RECEIVED,2026-02-15,2025-12-11 00:00:00+00
96,PO-1095,Shanghai Home Works,CNSHA,4,RECEIVED,2026-08-12,2026-06-23 00:00:00+00
97,PO-1096,Klang Valley Timber,MYPKG,3,RECEIVED,2026-07-12,2026-05-06 00:00:00+00
98,PO-1097,Shanghai Home Works,CNSHA,4,RECEIVED,2025-11-27,2025-10-08 00:00:00+00
99,PO-1098,Shanghai Home Works,CNSHA,3,RECEIVED,2026-02-04,2025-12-02 00:00:00+00
100,PO-1099,Klang Valley Timber,MYPKG,3,RECEIVED,2026-05-10,2026-03-01 00:00:00+00
101,PO-1100,Shanghai Home Works,CNSHA,3,RECEIVED,2025-12-27,2025-10-26 00:00:00+00
102,PO-1101,Saigon Furniture Co.,VNSGN,4,RECEIVED,2026-07-13,2026-05-20 00:00:00+00
103,PO-1102,Klang Valley Timber,MYPKG,2,RECEIVED,2026-09-12,2026-07-14 00:00:00+00
104,PO-1103,Saigon Furniture Co.,VNSGN,2,RECEIVED,2025-11-14,2025-09-14 00:00:00+00
105,PO-1104,Klang Valley Timber,MYPKG,1,RECEIVED,2025-11-13,2025-09-16 00:00:00+00
106,PO-1105,Klang Valley Timber,MYPKG,1,RECEIVED,2026-08-12,2026-06-16 00:00:00+00
107,PO-1106,Saigon Furniture Co.,VNSGN,3,RECEIVED,2026-08-20,2026-06-16 00:00:00+00
108,PO-1107,Shanghai Home Works,CNSHA,2,RECEIVED,2026-06-12,2026-04-17 00:00:00+00
109,PO-1108,Saigon Furniture Co.,VNSGN,2,RECEIVED,2026-04-20,2026-02-21 00:00:00+00
110,PO-1109,Saigon Furniture Co.,VNSGN,3,RECEIVED,2026-04-26,2026-02-20 00:00:00+00
111,PO-1110,Klang Valley Timber,MYPKG,3,RECEIVED,2026-08-09,2026-06-03 00:00:00+00
112,PO-1111,Saigon Furniture Co.,VNSGN,4,RECEIVED,2025-10-12,2025-08-15 00:00:00+00
113,PO-1112,Saigon Furniture Co.,VNSGN,4,RECEIVED,2026-03-30,2026-01-31 00:00:00+00
114,PO-1113,Klang Valley Timber,MYPKG,4,RECEIVED,2026-08-17,2026-06-20 00:00:00+00
115,PO-1114,Shanghai Home Works,CNSHA,3,RECEIVED,2026-01-09,2025-11-06 00:00:00+00
116,PO-1115,Shanghai Home Works,CNSHA,4,RECEIVED,2025-10-19,2025-08-26 00:00:00+00
117,PO-1116,Saigon Furniture Co.,VNSGN,4,RECEIVED,2026-08-02,2026-06-06 00:00:00+00
118,PO-1117,Klang Valley Timber,MYPKG,1,RECEIVED,2025-12-07,2025-10-10 00:00:00+00
119,PO-1118,Saigon Furniture Co.,VNSGN,1,RECEIVED,2026-04-21,2026-02-23 00:00:00+00
120,PO-1119,Saigon Furniture Co.,VNSGN,4,RECEIVED,2026-05-01,2026-03-07 00:00:00+00
121,PO-1120,Shanghai Home Works,CNSHA,3,RECEIVED,2026-07-11,2026-05-10 00:00:00+00
122,PO-1121,Klang Valley Timber,MYPKG,2,RECEIVED,2026-03-07,2026-01-06 00:00:00+00
123,PO-1122,Shanghai Home Works,CNSHA,1,RECEIVED,2025-10-10,2025-08-19 00:00:00+00
124,PO-1123,Klang Valley Timber,MYPKG,1,RECEIVED,2025-11-12,2025-09-15 00:00:00+00
125,PO-1124,Klang Valley Timber,MYPKG,4,RECEIVED,2026-08-28,2026-06-30 00:00:00+00
126,PO-1125,Shanghai Home Works,CNSHA,2,RECEIVED,2026-03-12,2026-01-17 00:00:00+00
127,PO-1126,Shanghai Home Works,CNSHA,1,RECEIVED,2026-03-12,2026-01-20 00:00:00+00
128,PO-1127,Saigon Furniture Co.,VNSGN,3,RECEIVED,2026-05-02,2026-02-23 00:00:00+00
129,PO-1128,Saigon Furniture Co.,VNSGN,1,RECEIVED,2026-05-27,2026-04-04 00:00:00+00
130,PO-1129,Shanghai Home Works,CNSHA,1,RECEIVED,2026-07-02,2026-05-12 00:00:00+00
131,PO-1130,Klang Valley Timber,MYPKG,2,RECEIVED,2026-09-03,2026-07-02 00:00:00+00
132,PO-1131,Shanghai Home Works,CNSHA,1,RECEIVED,2026-04-03,2026-02-13 00:00:00+00
133,PO-1132,Klang Valley Timber,MYPKG,3,RECEIVED,2026-01-10,2025-11-01 00:00:00+00
134,PO-1133,Shanghai Home Works,CNSHA,3,RECEIVED,2026-08-03,2026-06-02 00:00:00+00
135,PO-1134,Shanghai Home Works,CNSHA,1,RECEIVED,2026-03-27,2026-02-03 00:00:00+00
136,PO-1135,Klang Valley Timber,MYPKG,2,RECEIVED,2026-09-05,2026-07-07 00:00:00+00
137,PO-1136,Saigon Furniture Co.,VNSGN,2,RECEIVED,2025-11-05,2025-09-05 00:00:00+00
138,PO-1137,Saigon Furniture Co.,VNSGN,2,RECEIVED,2026-01-23,2025-11-24 00:00:00+00
139,PO-1138,Klang Valley Timber,MYPKG,1,RECEIVED,2026-06-01,2026-04-04 00:00:00+00
140,PO-1139,Saigon Furniture Co.,VNSGN,1,RECEIVED,2025-12-04,2025-10-08 00:00:00+00
141,PO-1140,Saigon Furniture Co.,VNSGN,3,RECEIVED,2026-01-24,2025-11-20 00:00:00+00
142,PO-1141,Shanghai Home Works,CNSHA,3,RECEIVED,2026-02-25,2025-12-21 00:00:00+00
143,PO-1142,Klang Valley Timber,MYPKG,2,RECEIVED,2026-04-16,2026-02-15 00:00:00+00
144,PO-1143,Klang Valley Timber,MYPKG,3,RECEIVED,2025-12-03,2025-09-23 00:00:00+00
145,PO-1144,Saigon Furniture Co.,VNSGN,1,RECEIVED,2025-11-25,2025-10-03 00:00:00+00
146,PO-1145,Shanghai Home Works,CNSHA,2,RECEIVED,2026-01-18,2025-11-23 00:00:00+00
147,PO-1146,Shanghai Home Works,CNSHA,1,RECEIVED,2026-05-19,2026-03-31 00:00:00+00
148,PO-1147,Klang Valley Timber,MYPKG,4,RECEIVED,2026-08-04,2026-06-07 00:00:00+00
149,PO-1148,Klang Valley Timber,MYPKG,4,RECEIVED,2025-12-25,2025-10-27 00:00:00+00
150,PO-1149,Shanghai Home Works,CNSHA,4,RECEIVED,2026-05-03,2026-03-14 00:00:00+00
151,PO-1150,Saigon Furniture Co.,VNSGN,1,RECEIVED,2026-01-06,2025-11-12 00:00:00+00
152,PO-1151,Klang Valley Timber,MYPKG,4,RECEIVED,2025-12-15,2025-10-19 00:00:00+00
153,PO-1152,Shanghai Home Works,CNSHA,3,RECEIVED,2026-01-10,2025-11-05 00:00:00+00
154,PO-1153,Shanghai Home Works,CNSHA,2,RECEIVED,2026-07-13,2026-05-20 00:00:00+00
155,PO-1154,Saigon Furniture Co.,VNSGN,1,RECEIVED,2026-03-22,2026-01-27 00:00:00+00
156,PO-1155,Shanghai Home Works,CNSHA,2,RECEIVED,2026-01-01,2025-11-06 00:00:00+00
157,PO-1156,Shanghai Home Works,CNSHA,1,RECEIVED,2026-01-31,2025-12-14 00:00:00+00
158,PO-1157,Shanghai Home Works,CNSHA,4,RECEIVED,2026-03-18,2026-01-27 00:00:00+00
159,PO-1158,Klang Valley Timber,MYPKG,4,RECEIVED,2026-03-08,2026-01-06 00:00:00+00
160,PO-1159,Klang Valley Timber,MYPKG,4,RECEIVED,2026-01-05,2025-11-06 00:00:00+00
161,PO-1160,Saigon Furniture Co.,VNSGN,4,RECEIVED,2026-08-16,2026-06-22 00:00:00+00
162,PO-1161,Saigon Furniture Co.,VNSGN,1,RECEIVED,2025-12-11,2025-10-16 00:00:00+00
163,PO-1162,Shanghai Home Works,CNSHA,2,RECEIVED,2026-05-21,2026-03-25 00:00:00+00
164,PO-1163,Klang Valley Timber,MYPKG,4,RECEIVED,2026-06-11,2026-04-13 00:00:00+00
165,PO-1164,Shanghai Home Works,CNSHA,2,RECEIVED,2026-08-30,2026-07-05 00:00:00+00
166,PO-1165,Saigon Furniture Co.,VNSGN,2,RECEIVED,2025-12-12,2025-10-16 00:00:00+00
167,PO-1166,Saigon Furniture Co.,VNSGN,3,RECEIVED,2026-08-11,2026-06-07 00:00:00+00
168,PO-1167,Shanghai Home Works,CNSHA,3,RECEIVED,2026-01-03,2025-11-01 00:00:00+00
169,PO-1168,Saigon Furniture Co.,VNSGN,1,RECEIVED,2026-09-01,2026-07-07 00:00:00+00
170,PO-1169,Shanghai Home Works,CNSHA,3,RECEIVED,2026-07-08,2026-05-04 00:00:00+00
171,PO-1170,Klang Valley Timber,MYPKG,2,RECEIVED,2026-05-22,2026-03-19 00:00:00+00
172,PO-1171,Saigon Furniture Co.,VNSGN,2,RECEIVED,2026-09-19,2026-07-22 00:00:00+00
173,PO-1172,Klang Valley Timber,MYPKG,2,RECEIVED,2025-11-23,2025-09-21 00:00:00+00
174,PO-1173,Klang Valley Timber,MYPKG,3,RECEIVED,2025-12-27,2025-10-19 00:00:00+00
175,PO-1174,Shanghai Home Works,CNSHA,3,RECEIVED,2026-07-07,2026-05-06 00:00:00+00
176,PO-1175,Shanghai Home Works,CNSHA,4,RECEIVED,2026-06-25,2026-05-06 00:00:00+00
177,PO-1176,Klang Valley Timber,MYPKG,1,RECEIVED,2025-12-29,2025-11-01 00:00:00+00
178,PO-1177,Saigon Furniture Co.,VNSGN,4,RECEIVED,2026-03-19,2026-01-20 00:00:00+00
179,PO-1178,Saigon Furniture Co.,VNSGN,1,RECEIVED,2026-04-20,2026-02-23 00:00:00+00
180,PO-1179,Saigon Furniture Co.,VNSGN,1,RECEIVED,2026-08-24,2026-06-28 00:00:00+00
181,PO-1180,Saigon Furniture Co.,VNSGN,2,RECEIVED,2026-07-30,2026-05-31 00:00:00+00
182,PO-1181,Saigon Furniture Co.,VNSGN,4,RECEIVED,2026-03-22,2026-01-27 00:00:00+00
183,PO-1182,Shanghai Home Works,CNSHA,4,RECEIVED,2026-07-30,2026-06-06 00:00:00+00
184,PO-1183,Shanghai Home Works,CNSHA,2,RECEIVED,2026-02-25,2026-01-01 00:00:00+00
185,PO-1184,Shanghai Home Works,CNSHA,2,RECEIVED,2026-08-29,2026-07-07 00:00:00+00
186,PO-1185,Shanghai Home Works,CNSHA,3,RECEIVED,2026-08-01,2026-05-28 00:00:00+00
187,PO-1186,Shanghai Home Works,CNSHA,1,RECEIVED,2026-03-25,2026-02-05 00:00:00+00
188,PO-1187,Klang Valley Timber,MYPKG,3,RECEIVED,2026-09-12,2026-07-03 00:00:00+00
189,PO-1188,Shanghai Home Works,CNSHA,4,RECEIVED,2026-01-24,2025-12-04 00:00:00+00
190,PO-1189,Saigon Furniture Co.,VNSGN,2,RECEIVED,2026-07-06,2026-05-07 00:00:00+00
191,PO-1190,Shanghai Home Works,CNSHA,2,RECEIVED,2026-08-18,2026-06-23 00:00:00+00
192,PO-1191,Klang Valley Timber,MYPKG,3,RECEIVED,2025-12-29,2025-10-22 00:00:00+00
193,PO-1192,Klang Valley Timber,MYPKG,2,RECEIVED,2026-09-07,2026-07-08 00:00:00+00
194,PO-1193,Klang Valley Timber,MYPKG,1,RECEIVED,2026-04-16,2026-02-18 00:00:00+00
195,PO-1194,Klang Valley Timber,MYPKG,3,RECEIVED,2026-05-10,2026-03-01 00:00:00+00
196,PO-1195,Shanghai Home Works,CNSHA,4,RECEIVED,2025-11-01,2025-09-10 00:00:00+00
197,PO-1196,Klang Valley Timber,MYPKG,2,RECEIVED,2025-10-30,2025-08-28 00:00:00+00
198,PO-1197,Saigon Furniture Co.,VNSGN,3,RECEIVED,2025-10-24,2025-08-16 00:00:00+00
199,PO-1198,Saigon Furniture Co.,VNSGN,4,RECEIVED,2026-05-18,2026-03-22 00:00:00+00
200,PO-1199,Saigon Furniture Co.,VNSGN,4,RECEIVED,2025-11-01,2025-09-07 00:00:00+00
201,PO-1200,Shanghai Home Works,CNSHA,4,RECEIVED,2026-07-13,2026-05-23 00:00:00+00
202,PO-1201,Shanghai Home Works,CNSHA,2,RECEIVED,2025-12-10,2025-10-18 00:00:00+00
203,PO-1202,Shanghai Home Works,CNSHA,3,RECEIVED,2026-03-15,2026-01-12 00:00:00+00
204,PO-1203,Saigon Furniture Co.,VNSGN,3,RECEIVED,2026-01-28,2025-11-24 00:00:00+00
205,PO-1204,Shanghai Home Works,CNSHA,3,RECEIVED,2026-02-26,2025-12-25 00:00:00+00
206,PO-1205,Klang Valley Timber,MYPKG,1,RECEIVED,2025-10-16,2025-08-20 00:00:00+00
207,PO-1206,Klang Valley Timber,MYPKG,3,RECEIVED,2026-09-12,2026-07-06 00:00:00+00
208,PO-1207,Klang Valley Timber,MYPKG,4,RECEIVED,2026-08-17,2026-06-17 00:00:00+00
209,PO-1208,Saigon Furniture Co.,VNSGN,3,RECEIVED,2026-01-13,2025-11-07 00:00:00+00
210,PO-1209,Saigon Furniture Co.,VNSGN,2,RECEIVED,2026-02-22,2025-12-25 00:00:00+00
211,PO-1210,Klang Valley Timber,MYPKG,3,RECEIVED,2026-08-22,2026-06-12 00:00:00+00
212,PO-1211,Shanghai Home Works,CNSHA,1,RECEIVED,2026-04-14,2026-02-25 00:00:00+00
213,PO-1212,Klang Valley Timber,MYPKG,4,RECEIVED,2025-11-22,2025-09-26 00:00:00+00
214,PO-1213,Shanghai Home Works,CNSHA,2,RECEIVED,2026-02-07,2025-12-16 00:00:00+00
215,PO-1214,Shanghai Home Works,CNSHA,1,RECEIVED,2026-05-06,2026-03-15 00:00:00+00
216,PO-1215,Saigon Furniture Co.,VNSGN,1,RECEIVED,2026-06-08,2026-04-15 00:00:00+00
217,PO-1216,Shanghai Home Works,CNSHA,2,RECEIVED,2026-04-27,2026-03-04 00:00:00+00
218,PO-1217,Saigon Furniture Co.,VNSGN,3,RECEIVED,2026-02-15,2025-12-08 00:00:00+00
219,PO-1218,Saigon Furniture Co.,VNSGN,4,RECEIVED,2026-01-08,2025-11-12 00:00:00+00
220,PO-1219,Klang Valley Timber,MYPKG,1,RECEIVED,2025-10-18,2025-08-23 00:00:00+00
221,PO-1220,Klang Valley Timber,MYPKG,3,RECEIVED,2026-03-05,2025-12-27 00:00:00+00
222,PO-1221,Shanghai Home Works,CNSHA,1,RECEIVED,2026-03-27,2026-02-04 00:00:00+00
223,PO-1222,Klang Valley Timber,MYPKG,3,RECEIVED,2026-03-26,2026-01-16 00:00:00+00
224,PO-1223,Klang Valley Timber,MYPKG,1,RECEIVED,2026-01-07,2025-11-13 00:00:00+00
225,PO-1224,Shanghai Home Works,CNSHA,1,RECEIVED,2025-12-24,2025-11-05 00:00:00+00
226,PO-1225,Saigon Furniture Co.,VNSGN,2,RECEIVED,2026-06-13,2026-04-14 00:00:00+00
227,PO-1226,Klang Valley Timber,MYPKG,2,RECEIVED,2026-02-06,2025-12-07 00:00:00+00
228,PO-1227,Saigon Furniture Co.,VNSGN,1,RECEIVED,2026-08-28,2026-07-05 00:00:00+00
229,PO-1228,Klang Valley Timber,MYPKG,2,RECEIVED,2026-04-02,2026-01-29 00:00:00+00
230,PO-1229,Shanghai Home Works,CNSHA,2,RECEIVED,2025-10-21,2025-08-28 00:00:00+00
231,PO-1230,Saigon Furniture Co.,VNSGN,3,RECEIVED,2026-02-17,2025-12-14 00:00:00+00
232,PO-1231,Shanghai Home Works,CNSHA,4,RECEIVED,2025-11-16,2025-09-26 00:00:00+00
233,PO-1232,Saigon Furniture Co.,VNSGN,4,RECEIVED,2026-03-11,2026-01-16 00:00:00+00
234,PO-1233,Shanghai Home Works,CNSHA,3,RECEIVED,2026-06-30,2026-04-26 00:00:00+00
235,PO-1234,Klang Valley Timber,MYPKG,1,RECEIVED,2026-03-10,2026-01-14 00:00:00+00
236,PO-1235,Shanghai Home Works,CNSHA,2,RECEIVED,2026-07-03,2026-05-10 00:00:00+00
237,PO-1236,Shanghai Home Works,CNSHA,4,RECEIVED,2025-12-24,2025-10-31 00:00:00+00
238,PO-1237,Shanghai Home Works,CNSHA,4,RECEIVED,2026-06-19,2026-04-27 00:00:00+00
239,PO-1238,Saigon Furniture Co.,VNSGN,3,RECEIVED,2025-12-31,2025-10-26 00:00:00+00
240,PO-1239,Shanghai Home Works,CNSHA,2,RECEIVED,2026-07-26,2026-05-30 00:00:00+00
241,PO-1240,Klang Valley Timber,MYPKG,4,RECEIVED,2025-12-19,2025-10-20 00:00:00+00
242,PO-1241,Shanghai Home Works,CNSHA,2,RECEIVED,2026-07-02,2026-05-06 00:00:00+00
243,PO-1242,Shanghai Home Works,CNSHA,4,RECEIVED,2026-01-26,2025-12-06 00:00:00+00
244,PO-1243,Shanghai Home Works,CNSHA,1,RECEIVED,2026-04-07,2026-02-14 00:00:00+00
245,PO-1244,Klang Valley Timber,MYPKG,2,RECEIVED,2025-11-12,2025-09-12 00:00:00+00
246,PO-1245,Shanghai Home Works,CNSHA,3,RECEIVED,2026-06-29,2026-04-27 00:00:00+00
247,PO-1246,Shanghai Home Works,CNSHA,1,RECEIVED,2026-04-24,2026-03-06 00:00:00+00
248,PO-1247,Klang Valley Timber,MYPKG,4,RECEIVED,2026-08-01,2026-06-04 00:00:00+00
249,PO-1248,Shanghai Home Works,CNSHA,2,RECEIVED,2026-01-23,2025-11-28 00:00:00+00
250,PO-1249,Shanghai Home Works,CNSHA,2,RECEIVED,2026-06-27,2026-05-04 00:00:00+00
